date,pre,hum,tem,occ
25/05/2020 16:32,93899.66,50.15,32.18,M
04/06/2020 18:39,94390.23,49.91,31.45,M
15/05/2020 00:17,94355.7,60.48,30.8,M
15/05/2020 00:34,94339.09,60.9,30.33,M
25/05/2020 16:41,93902.8,50.49,32.14,M
25/05/2020 16:37,93900.43,49.4,32.12,M
25/05/2020 23:48,94232.79,50.57,32.12,H
28/05/2020 23:31,94949.62,42.27,31.69,M
15/05/2020 00:51,94332.78,60.9,30.36,M
04/06/2020 18:57,94398.98,49.27,31.44,M
15/05/2020 00:50,94330.94,61.14,30.36,M
04/06/2020 19:30,94409.14,52.95,31.51,M
24/05/2020 12:45,94244.23,54.06,31.67,M
25/05/2020 19:15,93741.41,48.77,32.5,M
29/05/2020 00:52,95268.95,45.27,31.41,M
31/05/2020 19:12,94839.52,48.49,30.85,H
01/06/2020 12:25,95199.64,58.72,29.43,M
01/06/2020 12:14,95213.01,58.78,29.25,M
29/05/2020 00:10,95107.44,42.15,32.04,M
31/05/2020 19:19,94841.53,48.05,30.89,H
04/06/2020 11:20,94694.26,60.5,30.61,M
04/06/2020 19:54,94432.18,53.74,31.6,M
24/05/2020 11:52,94254.95,53.84,31.6,H
24/05/2020 12:19,94251.27,53.22,31.48,M
01/06/2020 12:13,95211.24,58.58,29.26,M
24/05/2020 12:22,94255.07,53.5,31.42,M
04/06/2020 19:29,94411.78,52.85,31.52,M
04/06/2020 11:34,94688.72,60.35,30.66,M
25/05/2020 16:16,93906.33,50.75,32.26,M
25/05/2020 17:05,93873.65,48.28,32.26,M
15/05/2020 00:33,94341.66,60.75,30.35,M
29/05/2020 00:50,95234.92,46.67,31.56,M
14/05/2020 23:44,94372.96,58.17,31.02,H
04/06/2020 18:05,94397.18,55.5,31.7,M
29/05/2020 00:39,95146.9,48.03,31.63,M
24/05/2020 12:21,94251.01,52.97,31.43,M
15/05/2020 00:02,94371.49,58.79,30.96,H
04/06/2020 23:05,94591.23,56.64,31.92,M
14/05/2020 23:20,94350.32,58.86,31.08,M
04/06/2020 18:21,94390.31,54.35,31.44,M
31/05/2020 19:34,94908.75,51.71,30.43,M
14/05/2020 23:37,94368.56,58.71,31.01,H
29/05/2020 00:36,95139.9,48.35,31.72,M
29/05/2020 00:58,95235.49,46.78,31.52,M
25/05/2020 23:24,94146.65,58.38,33.37,M
31/05/2020 19:09,94831.36,48.58,30.84,H
28/05/2020 23:38,94990.36,42.48,31.76,M
25/05/2020 23:26,94156.17,50.16,32.95,M
14/05/2020 23:42,94372.48,58.18,31.01,H
25/05/2020 23:55,94297.83,51.62,31.3,H
25/05/2020 19:33,93760.77,45.05,32.52,M
25/05/2020 20:31,93884.72,44.81,32.56,M
14/05/2020 23:07,94345.83,56.83,30.95,M
15/05/2020 00:56,94333.34,61.1,30.48,M
24/05/2020 12:16,94251.43,53.42,31.51,M
31/05/2020 19:05,94827.67,48.25,30.67,H
01/06/2020 12:15,95210.62,59.06,29.19,M
04/06/2020 23:07,94594.59,56.46,31.9,M
28/05/2020 23:31,94953.11,42.46,31.69,M
31/05/2020 19:03,94825.25,48.11,30.67,H
04/06/2020 19:39,94416.35,53.29,31.56,M
25/05/2020 19:38,93777.68,44.54,32.56,M
04/06/2020 18:57,94401.36,48.68,31.43,M
25/05/2020 19:37,93774.8,44.29,32.54,M
04/06/2020 19:05,94404.74,47.93,31.43,M
29/05/2020 00:15,95113.46,44.49,31.83,M
25/05/2020 15:52,93944.43,53,32.11,M
04/06/2020 19:40,94418.73,53.55,31.57,M
